Idx,ROUND,CON,NAME,HP,SP,DE,GOLD
0,0,0,None,0,0,0,0
1,1,20,None,35,200,0,1
2,2,20,None,70,200,0,1
3,3,20,None,130,200,0,1
4,4,20,None,170,200,0,1
5,5,1,None,1200,200,2,20
6,6,20,None,250,200,0,1
7,7,20,None,300,200,0,1
8,8,20,None,350,200,0,1
9,9,20,None,400,200,0,1
10,10,1,None,3000,200,3,20
11,11,20,None,550,200,1,1
12,12,20,None,650,200,1,1
13,13,20,None,800,200,1,1
14,14,20,None,850,200,1,1
15,15,1,None,6000,200,4,20
16,16,20,None,800,200,1,1
17,17,20,None,900,200,1,1
18,18,20,None,1000,200,1,1
19,19,20,None,1100,200,1,1
20,20,1,None,8000,200,5,20
21,21,20,None,1500,200,2,1
22,22,20,None,1700,200,2,1
23,23,20,None,1900,200,2,1
24,24,20,None,2100,200,2,1
25,25,1,None,13000,200,6,20
26,26,20,None,2400,200,3,1
27,27,20,None,2500,200,3,1
28,28,20,None,2800,200,3,1
29,29,20,None,2900,200,3,1
30,30,1,None,20000,200,7,20
31,31,20,None,3200,200,4,1
32,32,20,None,3400,200,4,1
33,33,20,None,3600,200,4,1
34,34,20,None,3800,200,4,1
35,35,1,None,30000,200,8,20
36,36,20,None,4000,200,4,1
37,37,20,None,4200,200,4,1
38,38,20,None,4500,200,4,1
39,39,20,None,4800,200,4,1
40,40,1,None,40000,200,9,20
41,41,20,None,5000,200,5,1
42,42,20,None,5200,200,5,1
43,43,20,None,5400,200,5,1
44,44,20,None,5600,200,5,1
45,45,1,None,50000,200,10,20
46,46,20,None,5800,200,5,1
47,47,20,None,6000,200,5,1
48,48,20,None,6200,200,5,1
49,49,20,None,6500,200,5,1
50,50,1,None,60000,200,11,20
51,51,20,None,7000,200,6,1
52,52,20,None,7200,200,6,1
53,53,20,None,7400,200,6,1
54,54,20,None,7600,200,6,1
55,55,1,None,70000,200,13,20
56,56,20,None,7800,200,7,1
57,57,20,None,8000,200,7,1
58,58,20,None,8200,200,7,1
59,59,20,None,8400,200,7,1
60,60,1,None,80000,200,15,20
61,61,20,None,9000,200,8,1
62,62,20,None,9300,200,8,1
63,63,20,None,9600,200,8,1
64,64,20,None,10000,200,8,1
65,65,1,None,90000,200,16,20
66,66,20,None,11000,200,9,1
67,67,20,None,12000,200,9,1
68,68,20,None,13000,200,9,1
69,69,20,None,14000,200,9,1
70,70,1,None,100000,200,17,20
71,71,1,None,15000,200,10,1
72,72,1,None,16000,200,10,1
73,73,1,None,17000,200,10,1
74,74,1,None,18000,200,10,1
75,75,1,None,120000,200,18,20
76,76,1,None,20000,200,11,1
77,77,1,None,21000,200,11,1
78,78,1,None,22000,200,11,1
79,79,1,None,23000,200,11,1
80,80,1,None,140000,200,19,20
81,81,1,None,25000,200,12,1
82,82,1,None,28000,200,12,1
83,83,1,None,30000,200,12,1
84,84,1,None,32000,200,12,1
85,85,1,None,170000,200,19,20
86,86,1,None,34000,200,13,1
87,87,1,None,36000,200,13,1
88,88,1,None,38000,200,13,1
89,89,1,None,40000,200,13,1
90,90,1,None,200000,200,20,20
91,91,1,None,42000,200,14,1
92,92,1,None,45000,200,14,1
93,93,1,None,47000,200,14,1
94,94,1,None,64000,200,14,1
95,95,1,None,250000,200,21,20
96,96,1,None,70000,200,15,1
